Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2002-01-28,ICICI,EQ,50.5,50.8,52.6,50.6,52.15,52.05,51.98,865194,4497306770000.0,0.0,384191.0,0.4441
2002-01-29,ICICI,EQ,52.05,52.0,52.9,50.25,50.6,50.45,51.21,475720,2436187200000.0,0.0,255114.0,0.5363
2002-01-30,ICICI,EQ,50.45,50.1,51.2,49.5,50.9,50.65,50.11,501215,2511446570000.0,0.0,292553.0,0.5837
2002-01-31,ICICI,EQ,50.65,50.9,51.4,50.3,50.6,50.6,50.84,353174,1795369580000.0,0.0,224138.0,0.6346
2002-02-01,ICICI,EQ,50.6,51.2,51.5,50.55,51.35,51.25,51.02,257196,1312308800000.0,0.0,185560.0,0.7215
2002-02-04,ICICI,EQ,51.25,55.9,55.9,47.0,50.6,50.75,51.28,719962,3692020654999.9995,0.0,445401.0,0.6186
2002-02-05,ICICI,EQ,50.75,49.6,51.8,48.1,51.5,51.3,51.22,542463,2778419550000.0,0.0,436999.0,0.8056000000000001
2002-02-06,ICICI,EQ,51.3,47.4,47.5,44.0,46.9,46.8,46.59,795913,3707876035000.0,0.0,0.0,0.0
2002-02-07,ICICI,EQ,46.8,48.0,48.0,46.1,46.4,46.45,46.9,423696,1987049710000.0002,0.0,0.0,0.0
2002-02-08,ICICI,EQ,46.45,46.4,47.0,46.4,46.6,46.75,46.7,175098,817676485000.0,0.0,0.0,0.0
2002-02-11,ICICI,EQ,46.75,46.9,48.45,46.6,48.05,48.2,47.71,761658,3634028545000.0005,0.0,0.0,0.0
2002-02-12,ICICI,EQ,48.2,48.45,48.75,47.5,48.0,47.9,48.15,418483,2014966395000.0,0.0,0.0,0.0
2002-02-13,ICICI,EQ,47.9,48.0,50.4,47.8,50.25,49.6,49.18,838774,4124787935000.0,0.0,0.0,0.0
2002-02-14,ICICI,EQ,49.6,50.6,54.6,50.4,54.6,54.6,52.61,1574549,8284189415000.001,0.0,0.0,0.0
2002-02-15,ICICI,EQ,54.6,56.9,60.1,55.5,60.1,60.1,58.68,1588140,9319742125000.0,0.0,0.0,0.0
2002-02-18,ICICI,EQ,60.1,63.6,66.15,61.8,62.4,63.1,64.16,2827031,18139047280000.0,0.0,2307413.0,0.2454
2002-02-19,ICICI,EQ,63.1,62.9,64.0,59.5,62.75,62.8,62.7,1561000,9786896940000.0,0.0,744304.0,0.4768
2002-02-20,ICICI,EQ,62.8,62.05,63.3,61.05,62.8,62.55,61.92,828393,5129174340000.0,0.0,0.0,0.0
2002-02-21,ICICI,EQ,62.55,62.75,66.45,62.1,62.75,63.0,64.42,1249751,8050930684999.999,0.0,456583.0,0.3653
2002-02-22,ICICI,EQ,63.0,63.8,69.3,63.0,68.75,68.8,67.97,3642145,24755378770000.0,0.0,1169487.0,0.3211
2002-02-25,ICICI,EQ,68.8,69.0,70.35,64.15,68.05,68.6,67.67,2160064,14616996205000.002,0.0,751318.0,0.3478
2002-02-26,ICICI,EQ,68.6,70.0,70.5,65.2,67.25,66.55,67.13,1097166,7365643895000.0,0.0,442590.0,0.40340000000000004
2002-02-27,ICICI,EQ,66.55,69.0,69.5,63.15,63.65,63.65,64.77,987439,6395308035000.0,0.0,477671.0,0.48369999999999996
2002-02-28,ICICI,EQ,63.65,64.0,65.9,57.35,57.5,58.05,61.58,1853707,11415370745000.0,0.0,799566.0,0.4313
2002-03-01,ICICI,EQ,58.05,57.05,63.9,56.0,63.9,63.9,61.64,1391602,8577512195000.0,0.0,498186.0,0.358
2002-03-04,ICICI,EQ,63.9,65.2,66.0,62.75,63.7,63.75,64.04,770948,4937243690000.0,0.0,348326.0,0.4518
2002-03-05,ICICI,EQ,63.75,65.0,65.0,62.55,63.1,63.2,63.52,556844,3536841560000.0,0.0,254560.0,0.4571
2002-03-06,ICICI,EQ,63.2,64.0,67.65,64.0,64.75,64.6,65.76,1794238,11798114385000.0,0.0,477343.0,0.266
2002-03-07,ICICI,EQ,64.6,65.3,65.45,63.8,64.3,64.15,64.46,494901,3190371645000.0,0.0,270333.0,0.5462
